,rawPL,sdPL,days,annPL,annSD,trades,semisd,semiannsd,MaxDD,Sharpe,Sortino,MAR,annInfo,annsdInfo,InfoRatio
"('benchmark', 'SPY')",0.4453541641441756,0.008302606877898628,1302,0.08619758015693721,0.1317997981947251,1258,0.0053687156861393125,0.08522571939201672,-0.20914345313524824,0.6540038857236051,1.0114033741440207,0.4121457251697725,0.0,0.0,
"('Sharpe', 'insample')",-0.08074508714156575,0.010737980697317863,1296,-0.015700433610860008,0.17046015904869002,9987,0.007192852457481689,0.11418299291805806,-0.4158079030928807,-0.0921061771764237,-0.13750238288224956,-0.037758862912600624,-0.039127196095442865,0.12261536892250435,-0.3191051532876937
"('Sharpe', 'outsample')",-0.23626415411535984,0.010384026919947302,1295,-0.045975727287313264,0.16484131702548346,9834,0.007097917811855577,0.11267595213927363,-0.2825531719597824,-0.2789090024086965,-0.4080349570109224,-0.16271531113392448,-0.06855430481152307,0.11581460981456047,-0.5919314059019889
"('Sortino', 'insample')",0.22765541048979437,0.011022700883450273,1296,0.044266329817460016,0.17497995188316828,5540,0.007224472227940141,0.11468494121293411,-0.37545746427269544,0.25297943759303376,0.3859820596260434,0.11789971975443082,-0.012407605855238858,0.13534563997755586,-0.09167348026354148
"('Sortino', 'outsample')",-0.169785566672911,0.010715154394257694,1295,-0.03303935351472863,0.1700978027212008,5446,0.007334723487231936,0.11643512569584084,-0.3403639113489939,-0.19423739158395747,-0.28375761452807724,-0.09707067175183433,-0.05901779734556518,0.12232897410439955,-0.482451502415098
"('MAR', 'insample')",0.09136401588711163,0.012134867332062918,1285,0.01791730117007948,0.192635046920402,3749,0.007821444044740583,0.1241615750147444,-0.4317679989250617,0.09301163758370001,0.14430632961889997,0.04149751999844072,-0.028308517950165882,0.15129754824707256,-0.1871049351304582
"('MAR', 'outsample')",-0.06798409755906668,0.011430944372399856,1286,-0.013321922694311665,0.18146061635989993,3712,0.007785035079236434,0.12358360060544175,-0.3884632426458573,-0.07341495340173225,-0.10779684868418586,-0.034293907973312686,-0.04552143846659403,0.13924991146710672,-0.3269046133458189
"('InfoRatio', 'insample')",-0.05799574795461224,0.009654440727448659,1298,-0.011259575103668939,0.15325949527345603,22070,0.006431197502419979,0.10209209534245789,-0.3778599638052447,-0.07346738995570119,-0.11028841229969669,-0.029798274975414728,-0.06669626099703325,0.0956106797558021,-0.6975817049662364
"('InfoRatio', 'outsample')",-0.20578029036297754,0.009610726717942173,1297,-0.039981983940994864,0.15256555688567397,22443,0.006510994504104228,0.10335883347340863,-0.4631875930822701,-0.2620642873604534,-0.3868269657985364,-0.08631920314388337,-0.05170417979176363,0.09594918366070616,-0.5388704501603584
